date,country,state,region,newCases,totalCases
07/03/2020,Brazil,DF,Central,1,1
08/03/2020,Brazil,DF,Central,0,1
09/03/2020,Brazil,DF,Central,0,1
10/03/2020,Brazil,DF,Central,1,2
11/03/2020,Brazil,DF,Central,0,2
12/03/2020,Brazil,DF,Central,1,3
13/03/2020,Brazil,DF,Central,0,3
14/03/2020,Brazil,DF,Central,5,8
15/03/2020,Brazil,DF,Central,6,14
16/03/2020,Brazil,DF,Central,5,19
17/03/2020,Brazil,DF,Central,7,26
18/03/2020,Brazil,DF,Central,10,36
19/03/2020,Brazil,DF,Central,48,84
20/03/2020,Brazil,DF,Central,24,108
21/03/2020,Brazil,DF,Central,4,112
22/03/2020,Brazil,DF,Central,22,134
23/03/2020,Brazil,DF,Central,12,146
24/03/2020,Brazil,DF,Central,31,177
25/03/2020,Brazil,DF,Central,18,195
26/03/2020,Brazil,DF,Central,8,203
12/03/2020,Brazil,GO,Central,3,3
13/03/2020,Brazil,GO,Central,0,3
14/03/2020,Brazil,GO,Central,1,4
15/03/2020,Brazil,GO,Central,0,4
16/03/2020,Brazil,GO,Central,5,9
17/03/2020,Brazil,GO,Central,1,10
18/03/2020,Brazil,GO,Central,2,12
19/03/2020,Brazil,GO,Central,3,15
20/03/2020,Brazil,GO,Central,3,18
21/03/2020,Brazil,GO,Central,2,20
22/03/2020,Brazil,GO,Central,1,21
23/03/2020,Brazil,GO,Central,2,23
24/03/2020,Brazil,GO,Central,6,29
25/03/2020,Brazil,GO,Central,6,35
26/03/2020,Brazil,GO,Central,4,39
14/03/2020,Brazil,MS,Central,2,2
15/03/2020,Brazil,MS,Central,0,2
16/03/2020,Brazil,MS,Central,2,4
17/03/2020,Brazil,MS,Central,2,6
18/03/2020,Brazil,MS,Central,1,7
19/03/2020,Brazil,MS,Central,2,9
20/03/2020,Brazil,MS,Central,3,12
21/03/2020,Brazil,MS,Central,4,16
22/03/2020,Brazil,MS,Central,5,21
23/03/2020,Brazil,MS,Central,0,21
24/03/2020,Brazil,MS,Central,3,24
25/03/2020,Brazil,MS,Central,0,24
26/03/2020,Brazil,MS,Central,1,25
17/03/2020,Brazil,MT,Central,1,1
18/03/2020,Brazil,MT,Central,0,1
19/03/2020,Brazil,MT,Central,0,1
20/03/2020,Brazil,MT,Central,1,2
21/03/2020,Brazil,MT,Central,1,3
22/03/2020,Brazil,MT,Central,0,3
23/03/2020,Brazil,MT,Central,5,8
24/03/2020,Brazil,MT,Central,1,9
25/03/2020,Brazil,MT,Central,2,11
26/03/2020,Brazil,MT,Central,2,13
17/03/2020,Brazil,AC,North,3,3
18/03/2020,Brazil,AC,North,0,3
19/03/2020,Brazil,AC,North,1,4
20/03/2020,Brazil,AC,North,3,7
21/03/2020,Brazil,AC,North,4,11
22/03/2020,Brazil,AC,North,0,11
23/03/2020,Brazil,AC,North,6,17
24/03/2020,Brazil,AC,North,4,21
25/03/2020,Brazil,AC,North,2,23
26/03/2020,Brazil,AC,North,1,24
13/03/2020,Brazil,AM,North,1,1
14/03/2020,Brazil,AM,North,0,1
15/03/2020,Brazil,AM,North,0,1
